Company,NSE,BSE,Data Source
3M India Limited,3MINDIA.NS,500002.BO,Real Data
ACC Limited,ACC.NS,500006.BO,Real Data
Adani Enterprises,ADANIENT.NS,532185.BO,Real Data
Adani Ports,ADANIPORTS.NS,532205.BO,Real Data
Adani Power,ADANIPOWER.NS,532217.BO,Real Data
Ambuja Cements,AMBUJACEM.NS,500409.BO,Real Data
Apollo Hospitals,APOLLOHOSP.NS,532537.BO,Real Data
Ashok Leyland,ASHOKLEY.NS,500009.BO,Real Data
Asian Paints India,ASIANPAINT.NS,500820.BO,Real Data
Axis Bank,AXISBANK.NS,532215.BO,Real Data
Axis Bank Limited,AXISBANK.NS,532215.BO,Real Data
BGR Energy,BGRENERGY.NS,532762.BO,Real Data
Bajaj Finance,BAJAJFINSV.NS,532978.BO,Real Data
Bajaj Finserv,BAJAJFINSV.NS,532978.BO,Real Data
Bank of Baroda,BANKBARODA.NS,532134.BO,Real Data
Bank of India,BANKINDIA.NS,532149.BO,Real Data
Berger Paints,BERGEPAINT.NS,500493.BO,Real Data
Bharat Petroleum,BPCL.NS,500103.BO,Real Data
Bharati V-Art,BHARTIARTL.NS,532454.BO,Real Data
Bharti Airtel Limited,BHARTIARTL.NS,532454.BO,Real Data
Biocon Limited,BIOCON.NS,532522.BO,Real Data
Blue Dart Express,BLUEDART.NS,500056.BO,Real Data
Bosch Limited,BOSCHLTD.NS,500081.BO,Real Data
Britannia Industries,BRITANNIA.NS,532099.BO,Real Data
Cipla Limited,CIPLA.NS,500087.BO,Real Data
Coal India Limited,COALINDIA.NS,533278.BO,Real Data
Colgate Palmolive,COLPAL.NS,500097.BO,Real Data
Container Corporation,CONCOR.NS,500085.BO,Real Data
DCM Shriram,DCMSHRIRAM.NS,500114.BO,Real Data
Dabur India,DABUR.NS,500103.BO,Real Data
Deepak Fertilizers,DEEPAKFERT.NS,532521.BO,Real Data
Divi's Laboratories,DIVISLAB.NS,532381.BO,Real Data
Dixon Technologies,DIXON.NS,532890.BO,Real Data
Dr. Reddy's Laboratories,DRREDDY.NS,500087.BO,Real Data
Escorts Limited,ESCORTS.NS,500182.BO,Real Data
Exicom Tele Systems,EXICOM.NS,999999999.BO,Real Data
Federal Bank,FEDERALBNK.NS,532174.BO,Real Data
Gail India Limited,GAIL.NS,532155.BO,Real Data
Genesys International,GENESYS.NS,532849.BO,Real Data
Gillette India,GILLETTE.NS,500170.BO,Real Data
Glaxo Smithkline,GLAXO.NS,532217.BO,Real Data
Go Digit Insurance,GODIGIT.NS,999999999.BO,Real Data
Godrej Industries,GODREJIND.NS,500124.BO,Real Data
Goldtech Pharmaceuticals,GOLDTECH.NS,999999999.BO,Real Data
Graphite India,GRAPHITE.NS,500182.BO,Real Data
Grasim Industries,GRASIM.NS,500182.BO,Real Data
Greaves Leasing,GREAVESCOT.NS,500160.BO,Real Data
Greenply Industries,GREENPLY.NS,532487.BO,Real Data
Grindwell Norton,GRINDWELL.NS,532189.BO,Real Data
HCL Technologies,HCLTECH.NS,532723.BO,Real Data
HDFC Bank Limited,HDFCBANK.NS,500180.BO,Real Data
Hero MotoCorp,HEROMOTOCO.NS,500182.BO,Real Data
Hi-Tech Pharma,HITECH.NS,999999999.BO,Real Data
Hindalco Industries,HINDALCO.NS,500696.BO,Real Data
Hindustan Aeronautics,HAL.NS,500009.BO,Real Data
Hindustan Copper,HINDALCO.NS,500696.BO,Real Data
Hindustan Petroleum,HINDPETRO.NS,500104.BO,Real Data
Hindustan Unilever,HINDUNILVR.NS,500696.BO,Real Data
Home First Finance,HOMEFIRST.NS,532913.BO,Real Data
Hyundai Motor,HYUNDAI.NS,532942.BO,Real Data
ICICI Bank Limited,ICICIBANK.NS,532174.BO,Real Data
ICICI Prudential,ICICIPRULI.NS,532978.BO,Real Data
ITC Limited,ITC.NS,500010.BO,Real Data
Ideaforge Technology,IDEAFORGE.NS,532974.BO,Real Data
Indian Hotels,INDHOTEL.NS,500182.BO,Real Data
Indian Oil,IOC.NS,530965.BO,Real Data
Indian Oil Corporation,IOC.NS,530965.BO,Real Data
Indigo Airlines,INDIGO.NS,532885.BO,Real Data
Indraprastha Gas,IGL.NS,532179.BO,Real Data
Indus Towers,INDUSTOWER.NS,532891.BO,Real Data
IndusInd Bank,INDUSINDBK.NS,532187.BO,Real Data
Infosys Limited,INFY.NS,500209.BO,Real Data
Integrated Infratech,IITL.NS,999999999.BO,Real Data
InterGlobe Aviation,INDIGO.NS,532885.BO,Real Data
JSW Steel Limited,JSWSTEEL.NS,532171.BO,Real Data
Kotak Mahindra Bank,KOTAKBANK.NS,532464.BO,Real Data
Larsen & Toubro,LT.NS,500510.BO,Real Data
Lupin Limited,LUPIN.NS,500257.BO,Real Data
Maruti Suzuki India,MARUTI.NS,532500.BO,Real Data
NTPC Limited,NTPC.NS,506239.BO,Real Data
Oil and Natural Gas,ONGC.NS,500312.BO,Real Data
